code,province,city,elementary_school_count,kindergarten_count,university_count,elderly_population_ratio,elderly_alone_ratio,nursing_home_count
10000,"Seoul","Seoul",607,830,48,15.38,5.8,22739
10010,"Seoul","Gangnam-gu",33,38,0,13.17,4.3,3088
10020,"Seoul","Gangdong-gu",27,32,0,14.55,5.4,1023
10030,"Seoul","Gangbuk-gu",14,21,0,19.49,8.5,628
10040,"Seoul","Gangseo-gu",36,56,1,14.39,5.7,1080
10050,"Seoul","Gwanak-gu",22,33,1,15.12,4.9,909
10060,"Seoul","Gwangjin-gu",22,33,3,13.75,4.8,723
10070,"Seoul","Guro-gu",26,34,3,16.21,5.7,741
10080,"Seoul","Geumcheon-gu",18,19,0,16.15,6.7,475
10090,"Seoul","Nowon-gu",42,66,6,15.4,7.4,952
10100,"Seoul","Dobong-gu",23,26,1,17.89,7.2,485
10110,"Seoul","Dongdaemun-gu",21,31,4,17.26,6.7,832
10120,"Seoul","Dongjak-gu",21,34,3,15.85,5.2,762
10130,"Seoul","Mapo-gu",22,24,2,14.05,4.9,929
10140,"Seoul","Seodaemun-gu",19,25,6,16.77,6.2,587
10150,"Seoul","Seocho-gu",24,27,1,13.39,3.8,1465
10160,"Seoul","Seongdong-gu",21,30,2,14.76,5.3,593
10170,"Seoul","Seongbuk-gu",29,49,6,16.15,6,729
10180,"Seoul","Songpa-gu",40,51,1,13.1,4.1,1527
10190,"Seoul","Yangcheon-gu",30,43,0,13.55,5.5,816
10200,"Seoul","Yeongdeungpo-gu",23,39,0,15.6,5.8,1001
10210,"Seoul","Yongsan-gu",15,13,1,16.87,6.5,435
10220,"Seoul","Eunpyeong-gu",31,44,1,17,6.5,874
10230,"Seoul","Jongno-gu",13,17,3,18.27,6.8,668
10240,"Seoul","Jung-gu",12,14,2,18.42,7.4,728
10250,"Seoul","Jungnang-gu",23,31,1,16.65,6.9,689
11000,"Busan","Busan",304,408,22,18.41,8.6,6752
11010,"Busan","Gangseo-gu",17,21,0,11.84,5,147
11020,"Busan","Geumjeong-gu",22,28,4,19.8,8.4,466
11030,"Busan","Gijang-gun",21,35,0,15.45,7.4,229
11040,"Busan","Nam-gu",21,27,4,19.13,7.9,475
11050,"Busan","Dong-gu",7,9,0,25.42,13.8,239
11060,"Busan","Dongnae-gu",22,31,0,17.53,7.7,608
11070,"Busan","Busanjin-gu",32,43,3,19.01,8.7,986
11080,"Busan","Buk-gu",27,37,1,16.04,8.4,465
11090,"Busan","Sasang-gu",21,31,3,17,8.1,317
11100,"Busan","Saha-gu",26,42,2,17.76,8.1,541
11110,"Busan","Seo-gu",11,9,0,24.36,12.3,235
11120,"Busan","Suyeong-gu",10,22,0,20.4,8.2,395
11130,"Busan","Yeonje-gu",16,18,2,18.27,7.8,450
11140,"Busan","Yeongdo-gu",14,12,2,26.13,13.3,203
11150,"Busan","Jung-gu",4,4,0,26,13,182
11160,"Busan","Haeundae-gu",33,39,1,16.53,7.9,814
12000,"Daegu","Daegu",229,355,11,15.78,7.5,5083
12010,"Daegu","Nam-gu",11,15,2,22.49,10.4,345
12020,"Daegu","Dalseo-gu",55,78,3,13.56,6.5,1064
12030,"Daegu","Dalseong-gun",32,47,1,12.11,5.4,361
12040,"Daegu","Dong-gu",32,58,0,18.81,9,649
12050,"Daegu","Buk-gu",38,73,4,13.95,6.3,748
12060,"Daegu","Seo-gu",17,23,0,21.29,10.1,374
12070,"Daegu","Suseong-gu",34,49,1,15,6.9,948
12080,"Daegu","Jung-gu",10,12,0,20.29,9.6,594
13000,"Gwangju","Gwangju",155,312,17,13.57,6.4,2852
13010,"Gwangju","Gwangsan-gu",45,90,4,9.1,4.6,640
13020,"Gwangju","Nam-gu",23,44,4,16.76,7.5,427
13030,"Gwangju","Dong-gu",11,18,3,21.59,8.8,327
13040,"Gwangju","Buk-gu",46,105,6,14.35,6.9,782
13050,"Gwangju","Seo-gu",30,55,0,13.52,6.1,676
14000,"Incheon","Incheon",250,403,7,13.2,5.8,4497
