date,age,confirmed,deceased
"2020-03-02",0,32,0
"2020-03-02",10,169,0
"2020-03-02",20,1235,0
"2020-03-02",30,506,1
"2020-03-02",40,633,1
"2020-03-02",50,834,5
"2020-03-02",60,530,6
"2020-03-02",70,192,6
"2020-03-02",80,81,3
"2020-03-03",0,34,0
"2020-03-03",10,204,0
"2020-03-03",20,1417,0
"2020-03-03",30,578,1
"2020-03-03",40,713,1
"2020-03-03",50,952,5
"2020-03-03",60,597,7
"2020-03-03",70,224,9
"2020-03-03",80,93,5
"2020-03-04",0,34,0
"2020-03-04",10,233,0
"2020-03-04",20,1575,0
"2020-03-04",30,631,1
"2020-03-04",40,790,1
"2020-03-04",50,1051,5
"2020-03-04",60,646,7
"2020-03-04",70,260,12
"2020-03-04",80,108,6
"2020-03-05",0,38,0
"2020-03-05",10,257,0
"2020-03-05",20,1727,0
"2020-03-05",30,659,1
"2020-03-05",40,847,1
"2020-03-05",50,1127,5
"2020-03-05",60,699,8
"2020-03-05",70,288,13
"2020-03-05",80,124,7
"2020-03-06",0,45,0
"2020-03-06",10,292,0
"2020-03-06",20,1877,0
"2020-03-06",30,693,1
"2020-03-06",40,889,1
"2020-03-06",50,1217,5
"2020-03-06",60,763,11
"2020-03-06",70,340,14
"2020-03-06",80,168,10
"2020-03-07",0,52,0
"2020-03-07",10,327,0
"2020-03-07",20,2038,0
"2020-03-07",30,727,1
"2020-03-07",40,941,1
"2020-03-07",50,1287,5
"2020-03-07",60,830,11
"2020-03-07",70,384,14
"2020-03-07",80,191,12
"2020-03-08",0,58,0
"2020-03-08",10,360,0
"2020-03-08",20,2133,0
"2020-03-08",30,760,1
"2020-03-08",40,975,1
"2020-03-08",50,1349,5
"2020-03-08",60,878,11
"2020-03-08",70,409,18
"2020-03-08",80,212,14
"2020-03-09",0,66,0
"2020-03-09",10,381,0
"2020-03-09",20,2190,0
"2020-03-09",30,779,1
"2020-03-09",40,1005,1
"2020-03-09",50,1391,5
"2020-03-09",60,916,12
"2020-03-09",70,438,18
"2020-03-09",80,216,14
"2020-03-10",0,67,0
"2020-03-10",10,393,0
"2020-03-10",20,2213,0
"2020-03-10",30,789,1
"2020-03-10",40,1030,1
"2020-03-10",50,1416,5
"2020-03-10",60,929,13
"2020-03-10",70,454,19
"2020-03-10",80,222,15
"2020-03-11",0,75,0
"2020-03-11",10,405,0
"2020-03-11",20,2238,0
"2020-03-11",30,804,1
"2020-03-11",40,1082,1
