code,date,avg_temp,most_wind_direction,avg_relative_humidity
10000,"2016-01-01",1.2,90,73
10000,"2016-01-02",5.7,320,76.9
10000,"2016-01-03",6.5,320,80.6
10000,"2016-01-04",2,320,54.4
10000,"2016-01-05",-2.7,20,39.4
10000,"2016-01-06",-1.7,320,54.3
10000,"2016-01-07",-3.4,20,51.8
10000,"2016-01-08",-3.3,290,49.8
10000,"2016-01-09",-2.1,360,57.1
10000,"2016-01-10",0.3,50,42.3
10000,"2016-01-11",-3.8,50,38.3
10000,"2016-01-12",-5.2,50,46
10000,"2016-01-13",-4.5,50,63
10000,"2016-01-14",-3.4,230,52.1
10000,"2016-01-15",-0.4,160,52.3
10000,"2016-01-16",-0.2,90,68
10000,"2016-01-17",1.7,90,64
10000,"2016-01-18",-6.3,340,59.8
10000,"2016-01-19",-12.8,340,45.9
10000,"2016-01-20",-10.5,50,43.6
10000,"2016-01-21",-7.1,320,44.3
10000,"2016-01-22",-7.6,320,40.5
10000,"2016-01-23",-11.5,340,42
10000,"2016-01-24",-14.4,340,48.5
10000,"2016-01-25",-9.4,320,47.1
10000,"2016-01-26",-3.3,90,64.5
10000,"2016-01-27",-1.1,340,56.3
10000,"2016-01-28",-0.5,110,51.5
10000,"2016-01-29",1.9,90,43.6
10000,"2016-01-30",0.6,320,59.5
10000,"2016-01-31",-3.9,320,34
10000,"2016-02-01",-6,320,36
10000,"2016-02-02",-5.3,340,41.8
10000,"2016-02-03",-2.4,70,49.6
10000,"2016-02-04",-0.7,320,50.1
10000,"2016-02-05",-2.2,320,39.4
10000,"2016-02-06",-3.1,320,38.6
10000,"2016-02-07",-2.9,320,46.5
10000,"2016-02-08",1.3,270,62.1
10000,"2016-02-09",0.3,320,52.5
10000,"2016-02-10",2.7,90,38.5
10000,"2016-02-11",8.1,110,29.3
10000,"2016-02-12",8.4,110,95.3
10000,"2016-02-13",11,140,95
10000,"2016-02-14",-2.6,320,73.1
10000,"2016-02-15",-5.8,340,48.4
10000,"2016-02-16",-2.7,320,65.6
10000,"2016-02-17",0,320,53.9
10000,"2016-02-18",3.5,270,66.4
10000,"2016-02-19",2.3,290,56.4
10000,"2016-02-20",1.3,340,37.1
10000,"2016-02-21",-0.6,320,36.4
10000,"2016-02-22",1.1,270,36.6
10000,"2016-02-23",0.7,340,56
10000,"2016-02-24",-3,340,42
10000,"2016-02-25",-0.2,320,49.9
10000,"2016-02-26",2.2,290,41.3
10000,"2016-02-27",3.3,320,57.6
10000,"2016-02-28",0.7,90,65.5
10000,"2016-02-29",-3.8,320,48.6
10000,"2016-03-01",-2.7,320,47.3
10000,"2016-03-02",3.1,270,67.9
10000,"2016-03-03",8.1,200,65.1
10000,"2016-03-04",13.2,110,55.3
10000,"2016-03-05",11.3,110,91.3
10000,"2016-03-06",7.9,320,51
10000,"2016-03-07",8.1,110,36.9
10000,"2016-03-08",2.7,340,40.4
10000,"2016-03-09",0.3,340,37.5
10000,"2016-03-10",-1.1,340,37.8
10000,"2016-03-11",-0.5,320,43.8
10000,"2016-03-12",2,270,55.6
10000,"2016-03-13",3.7,20,68.1
10000,"2016-03-14",4.7,320,57
10000,"2016-03-15",5.2,320,43.4
10000,"2016-03-16",7.5,320,45.1
10000,"2016-03-17",9.3,70,40.9
10000,"2016-03-18",13.4,110,50
10000,"2016-03-19",11.4,320,58.3
10000,"2016-03-20",10.6,320,54
10000,"2016-03-21",9.9,320,54.1
10000,"2016-03-22",8,320,58.1
10000,"2016-03-23",8.2,340,49.6
10000,"2016-03-24",7.2,320,36.5
10000,"2016-03-25",7.1,320,43.9
10000,"2016-03-26",6.5,320,54.5
10000,"2016-03-27",7.2,320,55.6
10000,"2016-03-28",9.8,290,47.8
10000,"2016-03-29",11.3,270,57.8
10000,"2016-03-30",11.5,320,49.9
10000,"2016-03-31",13.5,90,27
10000,"2016-04-01",15.3,320,26
10000,"2016-04-02",15,320,40.8
10000,"2016-04-03",10.7,70,75.1
10000,"2016-04-04",12.3,320,42.6
10000,"2016-04-05",11.4,290,45.1
10000,"2016-04-06",14.4,90,44.3
10000,"2016-04-07",14.1,290,69.5
10000,"2016-04-08",11.1,320,76.1
10000,"2016-04-09",10.7,250,83.9
10000,"2016-04-10",13.4,290,71.3
10000,"2016-04-11",12.5,320,43.8
10000,"2016-04-12",14.1,320,42.6
10000,"2016-04-13",15.6,320,67.5
10000,"2016-04-14",12.4,320,75.9
10000,"2016-04-15",15,320,46.4
10000,"2016-04-16",14.9,110,58.9
10000,"2016-04-17",10.8,270,66.8
10000,"2016-04-18",11.2,290,65.4
10000,"2016-04-19",12,320,55.1
10000,"2016-04-20",14.3,90,54
10000,"2016-04-21",13.5,110,87.6
10000,"2016-04-22",13.5,320,83.4
10000,"2016-04-23",13.5,320,52.1
10000,"2016-04-24",15.5,320,39.6
10000,"2016-04-25",17.2,70,34.8
10000,"2016-04-26",21.1,110,34.8
10000,"2016-04-27",17.2,110,32
10000,"2016-04-28",17.2,90,34.4
10000,"2016-04-29",16.2,270,47.6
10000,"2016-04-30",15.9,270,45.3
